time,rad_s
83.604,48.3495
83.608,48.3857
83.612,48.3349
83.616,48.273
83.62,48.1367
83.624,47.9463
83.628,47.7098
83.632,47.4432
83.636,47.151
83.64,46.8371
83.644,46.4767
83.648,46.1418
83.652,45.8564
83.656,45.4367
83.66,45.0698
83.664,44.7944
83.668,44.5967
83.672,44.4747
83.676,44.3058
83.68,44.2268
83.684,44.2397
83.688,44.4211
83.692,44.6388
83.696,44.9173
83.7,45.1882
83.704,45.5226
83.708,45.8686
83.712,46.2058
83.716,46.5195
83.72,46.8504
83.724,47.0907
83.728,47.2652
83.732,47.3747
83.736,47.4027
83.74,47.3858
83.744,47.325
83.748,47.2267
83.752,47.0223
83.756,46.7737
83.76,46.5063
83.764,46.2319
83.768,45.9239
83.772,45.6335
83.776,45.2468
83.78,44.9079
83.784,44.6378
83.788,44.4447
83.792,44.308
83.796,44.238
83.8,44.2154
83.804,44.3002
83.808,44.5166
83.812,44.8113
83.816,45.3348
83.82,45.8182
83.824,45.9972
83.828,46.1272
83.832,46.0296
83.836,45.9464
83.84,45.8755
83.844,45.8151
83.848,45.745
83.852,45.6389
83.856,45.7638
83.86,45.8373
83.864,45.8907
83.868,45.9467
83.872,46.0045
83.876,45.9436
83.88,45.8824
83.884,45.8396
83.888,45.8031
83.892,45.7627
83.896,45.6539
83.9,45.5427
83.904,45.4758
83.908,45.4188
83.912,45.3795
83.916,45.4034
83.92,45.4208
83.924,45.3998
83.928,45.401
83.932,45.4191
83.936,45.3798
83.94,45.3463
83.944,45.3177
83.948,45.3758
83.952,45.3707
83.956,45.3971
83.96,45.4334
83.964,45.563
83.968,45.6571
83.972,45.6739
83.976,45.7204
83.98,45.7714
83.984,45.8085
83.988,45.9041
83.992,45.9736
83.996,45.973
84.0,45.9632
84.004,46.2573
84.008,46.4536
84.012,46.4586
84.016,46.442
84.02,46.4186
84.024,46.4332
84.028,46.4203
84.032,46.3815
84.036,46.3299
84.04,46.5923
84.044,46.7142
84.048,46.751
84.052,46.7469
84.056,46.6413
84.06,46.5512
84.064,46.4467
84.068,46.3297
84.072,46.1929
84.076,45.9556
84.08,45.7348
84.084,45.5374
84.088,45.3134
84.092,45.1226
84.096,44.9693
84.1,44.8479
84.104,44.7723
84.108,44.7543
84.112,44.812
84.116,45.1805
84.12,45.5514
84.124,45.8895
84.128,46.221
84.132,46.5477
84.136,46.8537
84.14,46.9212
84.144,46.9529
